Unnamed: 0,ceramic,Bi,La,Sr,Ca,Ti,Mg,Mn,Zr,Hf,T,thick,Eenergy_density,efficiency,A_site_Molar_volume,A_site_Ionization_energy,A_site_Electron_affinity,A_site_Row,A_site_Atomic_mass,A_site_Number,A_site_Ionic_radii,A_site_Bond_length,A_site_Atomic_radius,A_site_Van_der_Waals_radius,A_site_X,B_site_Molar_volume,B_site_Ionization_energy,B_site_Electron_affinity,B_site_Row,B_site_Atomic_mass,B_site_Number,B_site_Ionic_radii,B_site_Bond_length,B_site_Atomic_radius,B_site_Van_der_Waals_radius,B_site_X,Entropy,Tolerance_factor,Octahedral_factor
0,BiLa-TiMgMnZr-O,0.9,0.1,0.0,0.0,0.45,0.45,0.05,0.05,0.0,500,160,7.14,57.62712,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.4313000000000002,1.4433736799999999,-0.03186806,0.7200000000000001,7.95710045,3.71,0.1857,0.40386999999999995,0.29050000000000004,0.38839999999999997,0.28530000000000005,1.3433131273428418,0.7586981371245408,0.1473809523809524
1,,0.9,0.1,0.0,0.0,0.45,0.45,0.05,0.05,0.0,550,160,25.32,81.88875,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.4313000000000002,1.4433736799999999,-0.03186806,0.7200000000000001,7.95710045,3.71,0.1857,0.40386999999999995,0.29050000000000004,0.38839999999999997,0.28530000000000005,1.3433131273428418,0.7586981371245408,0.1473809523809524
2,,0.9,0.1,0.0,0.0,0.45,0.45,0.05,0.05,0.0,600,160,53.83,56.55006,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.4313000000000002,1.4433736799999999,-0.03186806,0.7200000000000001,7.95710045,3.71,0.1857,0.40386999999999995,0.29050000000000004,0.38839999999999997,0.28530000000000005,1.3433131273428418,0.7586981371245408,0.1473809523809524
3,,0.9,0.1,0.0,0.0,0.45,0.45,0.05,0.05,0.0,650,160,48.83,64.98536,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.4313000000000002,1.4433736799999999,-0.03186806,0.7200000000000001,7.95710045,3.71,0.1857,0.40386999999999995,0.29050000000000004,0.38839999999999997,0.28530000000000005,1.3433131273428418,0.7586981371245408,0.1473809523809524
4,,0.9,0.1,0.0,0.0,0.45,0.45,0.05,0.05,0.0,700,160,55.29,64.38053,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.4313000000000002,1.4433736799999999,-0.03186806,0.7200000000000001,7.95710045,3.71,0.1857,0.40386999999999995,0.29050000000000004,0.38839999999999997,0.28530000000000005,1.3433131273428418,0.7586981371245408,0.1473809523809524
5,,0.9,0.1,0.0,0.0,0.4,0.4,0.1,0.1,0.0,500,160,12.12,50.24876,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.5186325774895812,0.7588556087179665,0.14714285714285713
6,,0.9,0.1,0.0,0.0,0.4,0.4,0.1,0.1,0.0,550,160,46.94,42.10621,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.5186325774895812,0.7588556087179665,0.14714285714285713
7,,0.9,0.1,0.0,0.0,0.4,0.4,0.1,0.1,0.0,600,160,57.33,36.4486,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.5186325774895812,0.7588556087179665,0.14714285714285713
8,,0.9,0.1,0.0,0.0,0.4,0.4,0.1,0.1,0.0,650,160,42.42,48.2155,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.5186325774895812,0.7588556087179665,0.14714285714285713
9,,0.9,0.1,0.0,0.0,0.4,0.4,0.1,0.1,0.0,700,160,34.27,45.83389,5.3545,1.7786636,0.22597013425,1.5,50.49322675,20.1,0.29118,0.5178,0.40875000000000006,0.5265,0.48200000000000004,2.3986000000000005,1.4393117600000003,-0.02929062,0.74,8.6970009,4.0200000000000005,0.18539999999999998,0.40644,0.29100000000000004,0.39280000000000004,0.2856,1.5186325774895812,0.7588556087179665,0.14714285714285713
