,ceramic,Bi,La,Sr,Ca,Ti,Mg,Mn,Zr,Hf,T,thick,Eenergy_density,efficiency
66,,0.9,0.1,0,0,0.4,0.4,0,0.1,0.1,600,120,33.74,52.58728
67,,0.9,0.1,0,0,0.4,0.4,0,0.1,0.1,650,120,21.92,61.24616
68,,0.9,0.1,0,0,0.4,0.4,0,0.1,0.1,700,120,10.21,51.2293
69,,0.9,0.1,0,0,0.7,0.1,0,0.1,0.1,600,120,32.65,75.02298
70,,0.9,0.1,0,0,0.7,0.1,0,0.1,0.1,650,120,23.97,44.29047
71,,0.9,0.1,0,0,0.7,0.1,0,0.1,0.1,700,120,23.52,66.85617
72,,0.9,0.1,0,0,0.61,0.13,0,0.13,0.13,600,120,13.51,74.43526
73,,0.9,0.1,0,0,0.61,0.13,0,0.13,0.13,650,120,15.68,80.7415
74,,0.9,0.1,0,0,0.61,0.13,0,0.13,0.13,700,120,26.25,67.84699
75,,0.9,0.05,0,0.05,0.4,0.4,0.1,0.1,0,600,120,23.58,53.73747
76,,0.9,0.05,0,0.05,0.4,0.4,0.1,0.1,0,650,120,36.45,34.29297
